phase1,phase2,delay_before,delay_after,delta,VEHICLES_before,QUEUEDELAY_before,SPEEDAVGARITHM_before,QLEN_before,QLENMAX_before,VEHICLES_after,QUEUEDELAY_after,SPEEDAVGARITHM_after,QLEN_after,QLENMAX_after,delta_QUEUEDELAY,delta_SPEEDAVGARITHM,delta_QLEN,delta_QLENMAX
24,24,,,,45.25,38.43069240196028,22.504158911792626,29.534462414293216,79.98956507364997,45.25,38.43069240196028,22.504158911792626,29.534462414293216,79.98956507364997,0.0,0.0,0.0,0.0
30,20,,,,45.25,38.43069240196028,22.504158911792626,29.534462414293216,79.98956507364997,48.75,22.405584493475384,23.76904554332712,19.37159331757616,63.554437257194365,-16.025107908484895,1.264886631534491,-10.162869096717056,-16.435127816455605
20,30,,,,45.25,38.43069240196028,22.504158911792626,29.534462414293216,79.98956507364997,41.5,52.54587121212007,23.541244273650044,43.0840823296509,112.60546771728892,14.11517881015979,1.037085361857418,13.54961991535768,32.61590264363895
20,20,,,,45.25,38.43069240196028,22.504158911792626,29.534462414293216,79.98956507364997,46.5,33.79189177489154,22.213537067332325,26.170939516873723,73.14539637637293,-4.63880062706874,-0.2906218444603006,-3.363522897419493,-6.844168697277041
30,30,,,,45.25,38.43069240196028,22.504158911792626,29.534462414293216,79.98956507364997,44.5,27.044053030303,24.26302914869108,26.609921365752164,92.58354520464204,-11.386639371657282,1.7588702368984563,-2.924541048541052,12.593980130992064
15,15,,,,45.25,38.43069240196028,22.504158911792626,29.534462414293216,79.98956507364997,43.75,30.00417676501564,21.469871960778868,28.23622142707365,82.53110750139261,-8.42651563694464,-1.0342869510137582,-1.2982409872195646,2.541542427742641
15,45,,,,45.25,38.43069240196028,22.504158911792626,29.534462414293216,79.98956507364997,33.5,78.60463624338409,24.528985435689567,65.52685650634687,128.25147295990615,40.17394384142381,2.024826523896941,35.99239409205366,48.26190788625618
45,15,,,,45.25,38.43069240196028,22.504158911792626,29.534462414293216,79.98956507364997,49.75,20.75652291356196,21.940159052853875,14.709706409352144,62.56435290250963,-17.67416948839832,-0.5639998589387503,-14.824756004941072,-17.425212171140338
20,25,,,,45.25,38.43069240196028,22.504158911792626,29.534462414293216,79.98956507364997,41.25,42.32981861888052,22.13572187269586,37.83711215850879,95.69680386184083,3.899126216920237,-0.368437039096765,8.302649744215572,15.707238788190864
25,20,,,,45.25,38.43069240196028,22.504158911792626,29.534462414293216,79.98956507364997,47.0,27.907447614960912,22.020839271731028,23.497253053100973,75.1673456271068,-10.523244786999369,-0.4833196400615982,-6.037209361192243,-4.822219446543173
35,25,,,,45.25,38.43069240196028,22.504158911792626,29.534462414293216,79.98956507364997,48.5,19.387267316017383,24.00342685737208,16.52119196240346,66.4279064224537,-19.043425085942893,1.4992679455794509,-13.013270451889756,-13.561658651196268
25,35,,,,45.25,38.43069240196028,22.504158911792626,29.534462414293216,79.98956507364997,41.0,56.97276295961293,25.033359718640742,43.82183349064413,114.67604426674454,18.54207055765265,2.5292008068481167,14.287371076350915,34.68647919309457
40,20,,,,45.25,38.43069240196028,22.504158911792626,29.534462414293216,79.98956507364997,48.0,21.13785569105696,23.76239879796616,17.304245877040646,73.07297367894918,-17.292836710903323,1.2582398861735271,-12.23021653725257,-6.916591394700788
20,40,,,,45.25,38.43069240196028,22.504158911792626,29.534462414293216,79.98956507364997,37.75,59.4439880952367,24.826157618988287,51.34973556298779,119.1187644158186,21.01329569327642,2.321998707195661,21.815273148694573,39.12919934216863
30,15,,,,45.25,38.43069240196028,22.504158911792626,29.534462414293216,79.98956507364997,46.75,22.94834199046216,22.070408938113964,17.794246475552306,71.28153184782285,-15.482350411498125,-0.4337499736786618,-11.74021593874091,-8.708033225827123
15,30,,,,45.25,38.43069240196028,22.504158911792626,29.534462414293216,79.98956507364997,37.0,57.0687247474736,21.620125044195603,52.82260703165042,121.68746146631015,18.63803234551332,-0.8840338675970223,23.288144617357204,41.6978963926602
38,28,,,,45.25,38.43069240196028,22.504158911792626,29.534462414293216,79.98956507364997,46.5,21.10468939393948,24.0320749897843,18.16269975505791,69.2780548518073,-17.3260030080208,1.527916077991673,-11.371762659235303,-10.711510221842673
28,38,,,,45.25,38.43069240196028,22.504158911792626,29.534462414293216,79.98956507364997,41.0,55.37928477520465,25.215201084552145,44.15048570497672,115.5468709151589,16.948592373244374,2.7110421727595195,14.616023290683508,35.557305841508935
35,35,,,,45.25,38.43069240196028,22.504158911792626,29.534462414293216,79.98956507364997,45.0,26.677606486552182,25.635849187954648,22.18735324482685,73.97999511170447,-11.753085915408093,3.131690276162022,-7.347109169466364,-6.009569961945502
45,45,,,,45.25,38.43069240196028,22.504158911792626,29.534462414293216,79.98956507364997,46.25,23.605242815529778,25.975925395459555,18.3062396087782,80.4456171096288,-14.825449586430501,3.4717664836669293,-11.228222805515017,0.4560520359788285
